Node ID,Successfully Sent Packets,Successfully Sent Bytes,Successfully Sent Data-Packets,Successfully Sent Data-Bytes,Successfully Sent Control-Packets,Successfully Sent Control-Bytes,Dropped Sent Packets,Dropped Sent Bytes,Dropped Sent Data-Packets,Dropped Sent Data-Bytes,Dropped Sent Control-Packets,Dropped Sent Control-Bytes,Successfully Received Packets,Successfully Received Bytes,Successfully Received Data-Packets,Successfully Received Data-Bytes,Successfully Received Control-Packets,Successfully Received Control-Bytes,Dropped Received Packets,Dropped Received Bytes,Dropped Received Data-Packets,Dropped Received Data-Bytes,Dropped Received Control-Packets,Dropped Received Control-Bytes,Double Sent Packets,Double Sent Bytes,Double Sent Data-Packets,Double Sent Data-Bytes,Double Sent Control-Packets,Double Sent Control-Bytes,Double Received Packets,Double Received Bytes,Double Received Data-Packets,Double Received Data-Bytes,Double Received Control-Packets,Double Received Control-Bytes,Tx Off [ms],Tx On [ms],Tx Busy [ms],Rx Off [ms],Rx On [ms],Rx Busy [ms],Idle [ms],TxRx Off [ms],Busy [ms]
0,10,900,10,900,0,0,0,0,0,0,0,0,30,2700,30,2700,0,0,10,900,10,900,0,0,10,900,10,900,0,0,30,2700,30,2700,0,0,499967,32,30,32,499967,92,0,0,0
1,10,900,10,900,0,0,0,0,0,0,0,0,30,2700,30,2700,0,0,10,900,10,900,0,0,10,900,10,900,0,0,30,2700,30,2700,0,0,499967,32,30,32,499967,92,0,0,0
2,10,900,10,900,0,0,0,0,0,0,0,0,30,2700,30,2700,0,0,0,0,0,0,0,0,10,900,10,900,0,0,30,2700,30,2700,0,0,499967,32,30,32,499967,92,0,0,0
3,10,900,10,900,0,0,0,0,0,0,0,0,30,2700,30,2700,0,0,20,1800,20,1800,0,0,10,900,10,900,0,0,30,2700,30,2700,0,0,499967,32,30,32,499967,92,0,0,0
