Node ID,Successfully Sent Packets,Successfully Sent Bytes,Successfully Sent Data-Packets,Successfully Sent Data-Bytes,Successfully Sent Control-Packets,Successfully Sent Control-Bytes,Dropped Sent Packets,Dropped Sent Bytes,Dropped Sent Data-Packets,Dropped Sent Data-Bytes,Dropped Sent Control-Packets,Dropped Sent Control-Bytes,Successfully Received Packets,Successfully Received Bytes,Successfully Received Data-Packets,Successfully Received Data-Bytes,Successfully Received Control-Packets,Successfully Received Control-Bytes,Dropped Received Packets,Dropped Received Bytes,Dropped Received Data-Packets,Dropped Received Data-Bytes,Dropped Received Control-Packets,Dropped Received Control-Bytes,Double Sent Packets,Double Sent Bytes,Double Sent Data-Packets,Double Sent Data-Bytes,Double Sent Control-Packets,Double Sent Control-Bytes,Double Received Packets,Double Received Bytes,Double Received Data-Packets,Double Received Data-Bytes,Double Received Control-Packets,Double Received Control-Bytes,Tx Off [ms],Tx On [ms],Tx Busy [ms],Rx Off [ms],Rx On [ms],Rx Busy [ms],Idle [ms],TxRx Off [ms],Busy [ms]
0,41,4001,40,3960,1,41,0,0,0,0,0,0,31,3251,30,3210,1,41,32,3358,31,3317,1,41,41,4001,40,3960,1,41,31,3251,30,3210,1,41,1810356,143,135,143,1810356,109,0,0,0
1,31,3251,30,3210,1,41,0,0,0,0,0,0,72,7252,70,7170,2,82,6,618,6,618,0,0,31,3251,30,3210,1,41,72,7252,70,7170,2,82,1810384,115,109,116,1810383,245,0,0,0
2,31,3251,30,3210,1,41,0,0,0,0,0,0,31,3251,30,3210,1,41,41,4001,40,3960,1,41,31,3251,30,3210,1,41,31,3251,30,3210,1,41,1810384,115,109,116,1810383,109,0,0,0
