Node ID,Successfully Sent Packets,Successfully Sent Bytes,Successfully Sent Data-Packets,Successfully Sent Data-Bytes,Successfully Sent Control-Packets,Successfully Sent Control-Bytes,Dropped Sent Packets,Dropped Sent Bytes,Dropped Sent Data-Packets,Dropped Sent Data-Bytes,Dropped Sent Control-Packets,Dropped Sent Control-Bytes,Successfully Received Packets,Successfully Received Bytes,Successfully Received Data-Packets,Successfully Received Data-Bytes,Successfully Received Control-Packets,Successfully Received Control-Bytes,Dropped Received Packets,Dropped Received Bytes,Dropped Received Data-Packets,Dropped Received Data-Bytes,Dropped Received Control-Packets,Dropped Received Control-Bytes,Double Sent Packets,Double Sent Bytes,Double Sent Data-Packets,Double Sent Data-Bytes,Double Sent Control-Packets,Double Sent Control-Bytes,Double Received Packets,Double Received Bytes,Double Received Data-Packets,Double Received Data-Bytes,Double Received Control-Packets,Double Received Control-Bytes,Tx Off [ms],Tx On [ms],Tx Busy [ms],Rx Off [ms],Rx On [ms],Rx Busy [ms],Idle [ms],TxRx Off [ms],Busy [ms]
0,80,7920,80,7920,0,0,0,0,0,0,0,0,208,22256,208,22256,0,0,71,7597,71,7597,0,0,80,7920,80,7920,0,0,208,22256,208,22256,0,0,499715,284,268,284,499715,752,0,0,0
1,70,7490,70,7490,0,0,0,0,0,0,0,0,218,22694,218,22694,0,0,71,7589,71,7589,0,0,70,7490,70,7490,0,0,218,22694,218,22694,0,0,499733,266,253,266,499733,768,0,0,0
2,70,7490,70,7490,0,0,0,0,0,0,0,0,218,22694,218,22694,0,0,2,206,2,206,0,0,70,7490,70,7490,0,0,218,22694,218,22694,0,0,499733,266,253,266,499733,768,0,0,0
3,70,7490,70,7490,0,0,0,0,0,0,0,0,218,22694,218,22694,0,0,151,15517,151,15517,0,0,70,7490,70,7490,0,0,218,22694,218,22694,0,0,499733,266,253,266,499733,768,0,0,0
