Node ID,Successfully Sent Packets,Successfully Sent Bytes,Successfully Sent Data-Packets,Successfully Sent Data-Bytes,Successfully Sent Control-Packets,Successfully Sent Control-Bytes,Dropped Sent Packets,Dropped Sent Bytes,Dropped Sent Data-Packets,Dropped Sent Data-Bytes,Dropped Sent Control-Packets,Dropped Sent Control-Bytes,Successfully Received Packets,Successfully Received Bytes,Successfully Received Data-Packets,Successfully Received Data-Bytes,Successfully Received Control-Packets,Successfully Received Control-Bytes,Dropped Received Packets,Dropped Received Bytes,Dropped Received Data-Packets,Dropped Received Data-Bytes,Dropped Received Control-Packets,Dropped Received Control-Bytes,Double Sent Packets,Double Sent Bytes,Double Sent Data-Packets,Double Sent Data-Bytes,Double Sent Control-Packets,Double Sent Control-Bytes,Double Received Packets,Double Received Bytes,Double Received Data-Packets,Double Received Data-Bytes,Double Received Control-Packets,Double Received Control-Bytes,Tx Off [ms],Tx On [ms],Tx Busy [ms],Rx Off [ms],Rx On [ms],Rx Busy [ms],Idle [ms],TxRx Off [ms],Busy [ms]
0,39,3803,38,3762,1,41,0,0,0,0,0,0,92,9646,89,9523,3,123,32,3358,31,3317,1,41,39,3803,38,3762,1,41,92,9646,89,9523,3,123,1810613,136,129,136,1810613,326,0,0,0
1,31,3251,30,3210,1,41,0,0,0,0,0,0,95,9703,92,9580,3,123,5,495,5,495,0,0,31,3251,30,3210,1,41,95,9703,92,9580,3,123,1810634,115,109,116,1810633,33575,0,0,0
2,31,3251,30,3210,1,41,0,0,0,0,0,0,93,9505,90,9382,3,123,15,1485,15,1485,0,0,31,3251,30,3210,1,41,93,9505,90,9382,3,123,1810634,115,109,116,1810633,33575,0,0,0
3,30,3144,29,3103,1,41,0,0,0,0,0,0,94,9612,91,9489,3,123,39,3803,38,3762,1,41,30,3144,29,3103,1,41,94,9612,91,9489,3,123,1810637,112,106,112,1810637,33579,0,0,0
